Date,Close,High,Low,Open,Volume
,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
2000-01-03,1.1209909915924072,1.1209909915924072,1.1209909915924072,1.1209909915924072,35389440000
2000-01-04,1.0589784383773804,1.0589784383773804,1.0589784383773804,1.0589784383773804,28861440000
2000-01-05,1.0482935905456543,1.0482935905456543,1.0482935905456543,1.0482935905456543,43033600000
2000-01-06,1.044668197631836,1.044668197631836,1.044668197631836,1.044668197631836,34055680000
2000-01-07,1.0494385957717896,1.0494385957717896,1.0494385957717896,1.0494385957717896,20912640000
2000-01-10,1.0709999799728394,1.0709999799728394,1.0709999799728394,1.0709999799728394,19563520000
2000-01-11,1.044668197631836,1.044668197631836,1.044668197631836,1.044668197631836,23987200000
2000-01-12,1.0461949110031128,1.0461949110031128,1.0461949110031128,1.0461949110031128,23301120000
2000-01-13,1.0160471200942993,1.0160471200942993,1.0160471200942993,1.0160471200942993,26383360000
2000-01-14,1.0303575992584229,1.0303575992584229,1.0303575992584229,1.0303575992584229,16657920000
2000-01-17,1.0185275077819824,1.0185275077819824,1.0185275077819824,1.0185275077819824,16573440000
2000-01-18,1.023297905921936,1.023297905921936,1.023297905921936,1.023297905921936,17925120000
2000-01-19,1.0160471200942993,1.0160471200942993,1.0160471200942993,1.0160471200942993,38883840000
2000-01-20,1.0137574672698975,1.0137574672698975,1.0137574672698975,1.0137574672698975,26268160000
2000-01-21,0.9921962022781372,0.9921962022781372,0.9921962022781372,0.9921962022781372,17512960000
2000-01-24,0.9851365089416504,0.9851365089416504,0.9851365089416504,0.9851365089416504,18385920000
2000-01-25,0.9851365089416504,0.9851365089416504,0.9851365089416504,0.9851365089416504,0
2000-01-26,0.9969663619995117,0.9969663619995117,0.9969663619995117,0.9969663619995117,25917440000
2000-01-27,0.9899067282676697,0.9899067282676697,0.9899067282676697,0.9899067282676697,38379520000
2000-01-28,0.9899067282676697,0.9899067282676697,0.9899067282676697,0.9899067282676697,17894400000
2000-01-31,0.97330641746521,0.9733064174652098,0.9733064174652098,0.9733064174652098,32266240000
2000-02-01,0.9921962022781372,0.9921962022781372,0.9921962022781372,0.9921962022781372,23672320000
2000-02-02,1.0112769603729248,1.0112769603729248,1.0112769603729248,1.0112769603729248,14272000000
2000-02-03,1.0398979187011719,1.0398979187011719,1.0398979187011719,1.0398979187011719,25950720000
2000-02-04,1.0662295818328857,1.0662295818328857,1.0662295818328857,1.0662295818328857,21199360000
2000-02-07,1.0732890367507935,1.0732890367507935,1.0732890367507935,1.0732890367507935,20613120000
2000-02-08,1.0971400737762451,1.0971400737762451,1.0971400737762451,1.0971400737762451,31498240000
2000-02-09,1.0732890367507935,1.0732890367507935,1.0732890367507935,1.0732890367507935,15600640000
2000-02-10,1.0423784255981445,1.0423784255981445,1.0423784255981445,1.0423784255981445,18600960000
2000-02-11,1.0089874267578125,1.0089874267578125,1.0089874267578125,1.0089874267578125,25297920000
2000-02-14,0.9946766495704651,0.9946766495704651,0.9946766495704651,0.9946766495704651,10119680000
2000-02-15,1.0137574672698975,1.0137574672698975,1.0137574672698975,1.0137574672698975,33546240000
2000-02-16,1.0948505401611328,1.0948505401611328,1.0948505401611328,1.0948505401611328,73564160000
2000-02-17,1.0853102207183838,1.0853102207183838,1.0853102207183838,1.0853102207183838,21411840000
2000-02-18,1.0614596605300903,1.0614596605300903,1.0614596605300903,1.0614596605300903,22484480000
2000-02-21,1.0589784383773804,1.0589784383773804,1.0589784383773804,1.0589784383773804,18700800000
2000-02-22,1.054208755493164,1.054208755493164,1.054208755493164,1.054208755493164,22474240000
2000-02-23,1.0614596605300903,1.0614596605300903,1.0614596605300903,1.0614596605300903,20334080000
2000-02-24,1.090080738067627,1.090080738067627,1.090080738067627,1.090080738067627,32931840000
2000-02-25,1.1187012195587158,1.1187012195587158,1.1187012195587158,1.1187012195587158,36958720000
2000-02-28,1.0971400737762451,1.0971400737762451,1.0971400737762451,1.0971400737762451,11596800000
2000-02-29,1.1019105911254883,1.1019105911254883,1.1019105911254883,1.1019105911254883,24322560000
2000-03-01,1.1209909915924072,1.1209909915924072,1.1209909915924072,1.1209909915924072,23828480000
2000-03-02,1.1139310598373413,1.1139310598373413,1.1139310598373413,1.1139310598373413,24053760000
2000-03-03,1.152092456817627,1.152092456817627,1.152092456817627,1.152092456817627,13217280000
2000-03-06,1.152092456817627,1.152092456817627,1.152092456817627,1.152092456817627,0
2000-03-07,1.152092456817627,1.152092456817627,1.152092456817627,1.152092456817627,0
